case_id,candidate,target_type,event_type,failure_class,match_status,reference_label,predicted_label,visual_evidence,prompt_addressable,suggested_prompt_lever,risk_to_case_67,risk_to_155_166_office,lesson_type,reviewer_note,source_image,overlay_path,crop_path
12,v024l_v023s_no_wheel_track_ablation,,added_false_positive_pending_review,,FP,,,,,,,,,,,,
14,v024l_v023s_no_wheel_track_ablation,,recovered_false_negative_pending_review,,TP/FN_delta,,,,,,,,,,,,
16,v024l_v023s_no_wheel_track_ablation,,added_false_positive_pending_review,,FP,,,,,,,,,,,,
21,v024l_v023s_no_wheel_track_ablation,,recall_regression_pending_review,,FN_delta,,,,,,,,,,,,
42,v024l_v023s_no_wheel_track_ablation,,recovered_false_negative_pending_review,,TP/FN_delta,,,,,,,,,,,,
66,v024l_v023s_no_wheel_track_ablation,,dense_added_false_positive_pending_review,,FP,,,,,,,,,,,,
67,v020c_anchor_replay,,dense_sentinel_pending_review,,mixed,,,,,,,,,,,,
67,v024l_v023s_no_wheel_track_ablation,,dense_sentinel_pending_review,,mixed,,,,,,,,,,,,
76,v024l_v023s_no_wheel_track_ablation,,recall_regression_pending_review,,FN_delta,,,,,,,,,,,,
77,v024l_v023s_no_wheel_track_ablation,,added_false_positive_pending_review,,FP,,,,,,,,,,,,
84,v024l_v023s_no_wheel_track_ablation,,dense_recall_regression_pending_review,,FN_delta,,,,,,,,,,,,
88,v024l_v023s_no_wheel_track_ablation,,added_false_positive_pending_review,,FP,,,,,,,,,,,,
90,v024l_v023s_no_wheel_track_ablation,,added_false_positive_pending_review,,FP,,,,,,,,,,,,
97,v020c_anchor_replay,,unchanged_fp_behavior_pending_review,,FP,,,,,,,,,,,,
97,v024l_v023s_no_wheel_track_ablation,,unchanged_fp_behavior_pending_review,,FP,,,,,,,,,,,,
103,v024l_v023s_no_wheel_track_ablation,,added_false_positive_pending_review,,FP,,,,,,,,,,,,
155,v020c_anchor_replay,,positive_control_pending_review,,control_pass,,,,,,,,,,,,
155,v024l_v023s_no_wheel_track_ablation,,positive_control_pending_review,,control_pass,,,,,,,,,,,,
164,v024l_v023s_no_wheel_track_ablation,,recovered_false_negative_pending_review,,TP/FN_delta,,,,,,,,,,,,
166,v020c_anchor_replay,,positive_control_pending_review,,control_pass,,,,,,,,,,,,
166,v024l_v023s_no_wheel_track_ablation,,positive_control_pending_review,,control_pass,,,,,,,,,,,,
172,v024l_v023s_no_wheel_track_ablation,,recovered_false_negative_pending_review,,TP/FN_delta,,,,,,,,,,,,
