rule_id,image_filename,case_id,baseline_matches,baseline_false_negatives,baseline_false_positives,post_matches,post_false_negatives,post_false_positives,delta_matches,delta_false_negatives,delta_false_positives,removed_labels
r019,03.jpg,3,1,0,0,1,0,0,0,0,0,
r019,06.jpg,6,1,0,0,1,0,0,0,0,0,
r019,07.jpg,7,1,0,0,1,0,0,0,0,0,
r019,08.jpg,8,1,0,0,1,0,0,0,0,0,
r019,09.jpg,9,1,0,0,1,0,0,0,0,0,
r019,10.jpg,10,1,0,0,1,0,0,0,0,0,
r019,11.jpg,11,1,1,0,1,1,0,0,0,0,
r019,12.jpg,12,1,0,0,1,0,0,0,0,0,
r019,13.jpg,13,2,0,0,2,0,0,0,0,0,
r019,14.jpg,14,1,1,0,1,1,0,0,0,0,
r019,15.jpg,15,1,0,0,1,0,0,0,0,0,
r019,16.jpg,16,1,0,0,1,0,0,0,0,0,
r019,17.jpg,17,1,0,1,1,0,1,0,0,0,
r019,18.jpg,18,1,0,0,1,0,0,0,0,0,
r019,19.jpg,19,1,0,1,1,0,1,0,0,0,
r019,20.jpg,20,1,1,0,1,1,0,0,0,0,
r019,21.jpg,21,2,1,0,2,1,0,0,0,0,
r019,22.jpg,22,6,0,0,6,0,0,0,0,0,
r019,24.jpg,24,1,0,0,1,0,0,0,0,0,
r019,25.jpg,25,1,0,0,1,0,0,0,0,0,
r019,26.jpg,26,1,0,0,1,0,0,0,0,0,
r019,27.jpg,27,1,0,0,1,0,0,0,0,0,
r019,28.jpg,28,1,0,3,1,0,3,0,0,0,
r019,29.jpg,29,1,0,0,1,0,0,0,0,0,
r019,40.png,40,1,1,0,1,1,0,0,0,0,
r019,41.png,41,1,0,0,1,0,0,0,0,0,
r019,42.png,42,1,1,0,1,1,0,0,0,0,
r019,44.jpg,44,7,2,0,7,2,0,0,0,0,
r019,46.jpg,46,1,0,0,1,0,0,0,0,0,
r019,48.jpg,48,1,0,0,1,0,0,0,0,0,
r019,49.jpg,49,1,0,0,1,0,0,0,0,0,
r019,50.jpg,50,1,0,0,1,0,0,0,0,0,
r019,51.jpg,51,1,0,0,1,0,0,0,0,0,
r019,53.jpg,53,2,1,0,2,1,0,0,0,0,
r019,56.png,56,1,0,0,1,0,0,0,0,0,
r019,57.png,57,1,0,1,1,0,1,0,0,0,
r019,59.jpg,59,1,0,0,1,0,0,0,0,0,
r019,61.jpg,61,1,0,0,1,0,0,0,0,0,
r019,62.jpg,62,1,0,0,1,0,0,0,0,0,
r019,63.jpg,63,1,0,0,1,0,0,0,0,0,
r019,64.jpg,64,1,0,0,1,0,0,0,0,0,
r019,65.jpg,65,2,0,0,2,0,0,0,0,0,
r019,66.jpg,66,8,0,5,8,0,5,0,0,0,
r019,67.jpg,67,10,1,3,10,1,3,0,0,0,
r019,68.jpg,68,2,0,0,2,0,0,0,0,0,
r019,69.jpg,69,3,0,0,3,0,0,0,0,0,
r019,70.jpg,70,2,1,0,2,1,0,0,0,0,
r019,73.jpg,73,1,0,0,1,0,0,0,0,0,
r019,74.jpg,74,1,0,0,1,0,0,0,0,0,
r019,75.jpg,75,2,0,0,2,0,0,0,0,0,
r019,76.jpg,76,1,2,0,1,2,0,0,0,0,
r019,77.jpg,77,1,0,1,1,0,1,0,0,0,
r019,78.jpg,78,1,0,0,1,0,0,0,0,0,
r019,79.jpg,79,1,0,0,1,0,0,0,0,0,
r019,80.jpg,80,1,0,0,1,0,0,0,0,0,
r019,81.jpg,81,1,0,0,1,0,0,0,0,0,
r019,82.jpg,82,2,0,0,2,0,0,0,0,0,
r019,83.jpg,83,1,0,0,1,0,0,0,0,0,
r019,84.jpg,84,8,5,0,8,5,0,0,0,0,
r019,85.jpg,85,2,0,0,2,0,0,0,0,0,
r019,86.jpg,86,1,0,1,1,0,1,0,0,0,
r019,87.jpg,87,2,0,0,2,0,0,0,0,0,
r019,88.jpg,88,1,0,1,1,0,0,0,0,-1,target_1
r019,89.jpg,89,1,0,0,1,0,0,0,0,0,
r019,90.png,90,1,0,0,1,0,0,0,0,0,
r019,91.jpg,91,3,0,0,3,0,0,0,0,0,
r019,92.jpg,92,1,0,1,1,0,1,0,0,0,
r019,93.jpg,93,3,0,0,3,0,0,0,0,0,
r019,94.jpg,94,1,0,0,1,0,0,0,0,0,
r019,95.jpg,95,1,1,0,1,1,0,0,0,0,
