case_id,image_filename,label,target_type,error_type,bbox,likely_failure_class,prediction_only_geometry_addressable,crop_verifier_addressable,prompt_wording_addressable,visual_review_needed,dense_case_risk,case110_risk,control_case_effect,notes
11,11.jpg,target_1,buildings,FN,"[0.0, 200.0, 720.0, 801.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=432720.0
14,14.jpg,target_1,military_equipment,FN,"[326.0, 247.0, 498.0, 433.0]",verifier_needed,false,true,false,true,false,false,false,reference_area=31992.0
17,17.jpg,target_0,buildings,FP,"[169.0, 425.0, 299.0, 559.0]",building_or_structure_piece,false,true,false,true,false,false,false,area=17420.0; containment=0.000; iou=0.000
19,19.jpg,target_0,buildings,FP,"[1014.0, 81.0, 1200.0, 300.0]",building_or_structure_piece,false,true,false,true,false,false,false,area=40734.0; containment=0.000; iou=0.000
20,20.jpg,target_2,buildings,FN,"[1291.0, 408.0, 1433.0, 550.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=20164.0
21,21.jpg,target_3,buildings,FN,"[3.0, 213.0, 96.0, 312.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=9207.0
28,28.jpg,target_1,military_equipment,FP,"[1018.0, 145.0, 1052.0, 176.0]",verifier_needed,false,true,false,true,false,false,false,area=1054.0; containment=0.000; iou=0.000
28,28.jpg,target_2,military_equipment,FP,"[1039.0, 104.0, 1069.0, 135.0]",verifier_needed,false,true,false,true,false,false,false,area=930.0; containment=0.000; iou=0.000
28,28.jpg,target_3,military_equipment,FP,"[1047.0, 76.0, 1066.0, 99.0]",verifier_needed,false,true,false,true,false,false,false,area=437.0; containment=0.000; iou=0.000
40,40.png,target_1,buildings,FN,"[0.0, 1.0, 214.0, 309.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=65912.0
42,42.png,target_2,military_equipment,FN,"[1221.0, 228.0, 1918.0, 711.0]",verifier_needed,false,true,false,true,false,false,false,reference_area=336651.0
