case_id,image_filename,label,target_type,error_type,bbox,likely_failure_class,next_intervention_type,dense_case_risk,case110_risk,control_case_effect
11,11.jpg,target_1,buildings,FN,"[0.0, 200.0, 720.0, 801.0]",building_or_structure_piece,C,false,false,false
14,14.jpg,target_1,military_equipment,FN,"[326.0, 247.0, 498.0, 433.0]",small_valid_target_missed,B,false,false,false
19,19.jpg,target_0,buildings,FP,"[1014.0, 81.0, 1200.0, 300.0]",building_or_structure_piece,A,false,false,false
20,20.jpg,target_2,buildings,FN,"[1291.0, 408.0, 1433.0, 550.0]",building_or_structure_piece,C,false,false,false
21,21.jpg,target_3,buildings,FN,"[3.0, 213.0, 96.0, 312.0]",building_or_structure_piece,C,false,false,false
40,40.png,target_1,buildings,FN,"[0.0, 1.0, 214.0, 309.0]",building_or_structure_piece,C,false,false,false
42,42.png,target_2,military_equipment,FN,"[1221.0, 228.0, 1918.0, 711.0]",small_valid_target_missed,B,false,false,false
44,44.jpg,target_1,military_equipment,FN,"[7.0, 415.0, 443.0, 815.0]",small_valid_target_missed,B,false,false,false
44,44.jpg,target_3,military_equipment,FN,"[529.0, 709.0, 1179.0, 1110.0]",small_valid_target_missed,B,false,false,false
53,53.jpg,target_3,military_equipment,FN,"[1379.0, 603.0, 1841.0, 758.0]",small_valid_target_missed,B,false,false,false
66,66.jpg,target_4,military_equipment,FP,"[94.0, 269.0, 117.0, 299.0]",adjacent_target_confusion,A,true,false,false
67,67.jpg,target_0,military_equipment,FP,"[29.0, 150.0, 58.0, 172.0]",adjacent_target_confusion,A,true,false,false
67,67.jpg,target_1,military_equipment,FP,"[48.0, 154.0, 77.0, 176.0]",adjacent_target_confusion,A,true,false,false
67,67.jpg,target_2,military_equipment,FP,"[67.0, 158.0, 96.0, 181.0]",adjacent_target_confusion,A,true,false,false
67,67.jpg,target_5,military_equipment,FN,"[185.0, 184.0, 201.0, 200.0]",dense_valid_target_missed,B,true,false,false
70,70.jpg,target_2,buildings,FN,"[135.0, 1.0, 588.0, 278.0]",building_or_structure_piece,C,false,false,false
76,76.jpg,target_1,buildings,FN,"[403.0, 488.0, 801.0, 939.0]",building_or_structure_piece,C,false,false,false
76,76.jpg,target_2,buildings,FN,"[826.0, 679.0, 936.0, 971.0]",building_or_structure_piece,C,false,false,false
77,77.jpg,target_1,buildings,FP,"[1527.0, 0.0, 1880.0, 642.0]",building_or_structure_piece,A,false,false,false
84,84.jpg,target_7,military_equipment,FN,"[72.0, 184.0, 82.0, 244.0]",dense_valid_target_missed,B,true,false,false
84,84.jpg,target_8,military_equipment,FN,"[58.0, 204.0, 68.0, 240.0]",dense_valid_target_missed,B,true,false,false
84,84.jpg,target_9,military_equipment,FN,"[53.0, 208.0, 64.0, 238.0]",dense_valid_target_missed,B,true,false,false
84,84.jpg,target_10,military_equipment,FN,"[691.0, 127.0, 765.0, 332.0]",dense_valid_target_missed,B,true,false,false
84,84.jpg,target_11,military_equipment,FN,"[0.0, 190.0, 12.0, 236.0]",dense_valid_target_missed,B,true,false,false
92,92.jpg,target_1,military_equipment,FP,"[428.0, 177.0, 561.0, 279.0]",verifier_needed,B,false,false,false
95,95.jpg,target_2,buildings,FN,"[1.0, 8.0, 895.0, 476.0]",building_or_structure_piece,C,false,false,false
97,97.jpg,target_1,buildings,FP,"[806.0, 0.0, 1280.0, 531.0]",building_or_structure_piece,A,true,false,false
100,100.jpg,target_1,buildings,FN,"[0.0, 37.0, 149.0, 574.0]",building_or_structure_piece,C,false,false,false
100,100.jpg,target_3,buildings,FN,"[844.0, 4.0, 1078.0, 541.0]",building_or_structure_piece,C,false,false,false
102,102.jpg,target_1,buildings,FN,"[270.0, 49.0, 1521.0, 738.0]",building_or_structure_piece,C,false,false,false
103,103.jpg,target_0,buildings,FP,"[238.0, 328.0, 745.0, 525.0]",building_or_structure_piece,A,false,false,false
105,105.jpg,target_2,buildings,FP,"[1505.0, 356.0, 1836.0, 562.0]",building_or_structure_piece,A,false,false,false
108,108.jpg,target_2,buildings,FN,"[1297.0, 288.0, 1694.0, 478.0]",building_or_structure_piece,C,false,false,false
110,110.jpg,target_0,military_equipment,FP,"[109.0, 42.0, 133.0, 73.0]",broad_context_scene_box,A,false,true,false
110,110.jpg,target_4,military_equipment,FN,"[151.0, 42.0, 168.0, 65.0]",smoke_or_debris_confusion,B,false,true,false
110,110.jpg,target_5,military_equipment,FN,"[150.0, 25.0, 169.0, 43.0]",smoke_or_debris_confusion,B,false,true,false
110,110.jpg,target_6,military_equipment,FN,"[99.0, 12.0, 110.0, 29.0]",smoke_or_debris_confusion,B,false,true,false
110,110.jpg,target_7,military_equipment,FN,"[17.0, 8.0, 28.0, 20.0]",smoke_or_debris_confusion,B,false,true,false
141,141.jpg,target_3,military_equipment,FN,"[186.0, 40.0, 201.0, 92.0]",small_valid_target_missed,B,false,false,false
146,146.jpg,target_2,military_equipment,FN,"[1.0, 160.0, 55.0, 187.0]",small_valid_target_missed,B,false,false,false
147,147.jpg,target_2,buildings,FN,"[207.0, 23.0, 294.0, 92.0]",building_or_structure_piece,C,false,false,false
147,147.jpg,target_3,buildings,FN,"[337.0, 20.0, 423.0, 89.0]",building_or_structure_piece,C,false,false,false
154,154.jpg,target_2,buildings,FN,"[1.0, 1.0, 613.0, 224.0]",building_or_structure_piece,C,false,false,false
160,160.jpg,target_3,buildings,FN,"[270.0, 3.0, 477.0, 68.0]",building_or_structure_piece,C,false,false,false
160,160.jpg,target_4,buildings,FN,"[44.0, 5.0, 206.0, 59.0]",building_or_structure_piece,C,false,false,false
160,160.jpg,target_5,buildings,FN,"[516.0, 1.0, 590.0, 84.0]",building_or_structure_piece,C,false,false,false
161,161.jpg,target_1,buildings,FN,"[16.0, 111.0, 612.0, 245.0]",building_or_structure_piece,C,false,false,false
164,164.jpg,target_2,buildings,FN,"[480.0, 159.0, 613.0, 289.0]",building_or_structure_piece,C,false,false,false
169,169.jpg,target_1,military_equipment,FN,"[1.0, 98.0, 175.0, 322.0]",small_valid_target_missed,B,false,false,false
