available,case_101_excluded,case_id,height,image_filename,source_image_path,width
True,False,3,720,03.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/03.jpg,1280
True,False,6,720,06.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/06.jpg,1280
True,False,7,605,07.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/07.jpg,838
True,False,8,720,08.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/08.jpg,1280
True,False,9,596,09.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/09.jpg,1278
True,False,10,545,10.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/10.jpg,1277
True,False,11,1280,11.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/11.jpg,720
True,False,12,559,12.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/12.jpg,775
True,False,13,511,13.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/13.jpg,786
True,False,14,450,14.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/14.jpg,800
True,False,15,352,15.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/15.jpg,640
True,False,16,3000,16.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/16.jpg,4496
True,False,17,956,17.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/17.jpg,1300
True,False,18,1120,18.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/18.jpg,1500
True,False,19,650,19.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/19.jpg,1200
True,False,20,967,20.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/20.jpg,1433
True,False,21,483,21.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/21.jpg,626
True,False,22,810,22.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/22.jpg,1440
True,False,24,667,24.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/24.jpg,1000
